Product_Name,Stock_Quantity,Inventory_Value,Sales_Volume,Discount_Revenue,Best_Seller
Arabica Coffee,74.0,1480.0,100.0,1800.0,False
Pineapple,18.0,63.0,88.0,277.2,False
Cauliflower,95.0,235.6,92.0,205.344,False
Egg (Turkey),39.0,97.5,26.0,58.5,False
Peas,48.0,144.0,51.0,137.70000000000002,False
Strawberries,58.0,342.20000000000005,52.0,276.12,False
Greek Yogurt,39.0,117.0,47.0,126.9,False
Papaya,84.0,369.6,54.0,213.84000000000003,False
Sardines,30.0,180.0,56.0,302.40000000000003,False
Sesame Oil,14.0,91.0,51.0,298.35,False
Powdered Sugar,21.0,52.5,37.0,83.25,False
Jasmine Rice,17.0,80.75,58.0,247.95000000000002,False
Cauliflower,34.0,85.0,28.0,63.0,False
Jasmine Rice,56.0,266.0,71.0,303.52500000000003,False
Plum,64.0,249.6,60.0,210.6,False
Grapes,87.0,478.5,22.0,108.9,False
Papaya,24.0,108.0,24.0,97.2,False
Sushi Rice,47.0,197.4,32.0,120.96000000000001,False
Digestive Biscuit,61.0,244.0,73.0,262.8,False
Rye Bread,48.0,134.39999999999998,27.0,68.03999999999999,False
Chocolate Biscuit,37.0,185.0,35.0,157.5,False
Arabica Coffee,45.0,900.0,36.0,648.0,False
Bread Flour,87.0,130.5,58.0,78.3,False
Almond Flour,37.0,351.5,38.0,324.90000000000003,False
Robusta Coffee,59.0,607.7,90.0,834.3000000000001,False
Pomegranate,62.0,372.0,45.0,243.0,False
Yogurt,63.0,107.1,56.0,85.68,False
Grapes,38.0,209.0,59.0,292.05,False
Mackerel,76.0,570.0,31.0,209.25,False
Egg (Quail),34.0,27.200000000000003,96.0,69.12000000000002,False
Eggplant,25.0,75.0,57.0,153.9,False
Egg (Turkey),86.0,215.0,34.0,76.5,False
Oatmeal Biscuit,41.0,205.0,50.0,225.0,False
Cauliflower,77.0,192.5,64.0,144.0,False
Egg (Duck),41.0,41.0,30.0,27.0,False
Orange,44.0,129.8,42.0,111.51,False
Avocado Oil,53.0,530.0,22.0,198.0,False
Chocolate Biscuit,68.0,340.0,70.0,315.0,False
Swiss Cheese,96.0,768.0,71.0,511.2,False
Garlic,33.0,231.0,46.0,289.8,False
Cauliflower,33.0,82.5,90.0,202.5,False
Watermelon,90.0,270.0,82.0,221.4,False
Brown Rice,31.0,77.5,25.0,56.25,False
Asparagus,92.0,460.0,62.0,279.0,False
Cauliflower,66.0,165.0,85.0,191.25,False
Anchovies,83.0,830.0,33.0,297.0,False
Mango,84.0,420.0,30.0,135.0,False
Haddock,76.0,684.0,52.0,421.2,False
Pomegranate,26.0,156.0,82.0,442.8,False
Green Coffee,61.0,762.5,95.0,1068.75,False
Evaporated Milk,15.0,28.5,71.0,121.41000000000001,False
Apricot,73.0,365.0,87.0,391.5,False
Whole Wheat Flour,41.0,108.64999999999999,50.0,119.25,False
Avocado Oil,14.0,140.0,65.0,585.0,False
Mango,99.0,495.0,52.0,234.0,False
Asparagus,80.0,400.0,26.0,117.0,False
Eggplant,49.0,147.0,37.0,99.9,False
Grapes,25.0,137.5,41.0,202.95000000000002,False
Sesame Oil,39.0,253.5,54.0,315.90000000000003,False
Orange,94.0,272.59999999999997,57.0,148.76999999999998,False
Sardines,11.0,66.0,69.0,372.6,False
Peanut Oil,21.0,84.0,49.0,176.4,False
Kiwi,38.0,216.6,53.0,271.89000000000004,False
Palm Oil,58.0,104.4,82.0,132.84,False
Plum,85.0,327.25,58.0,200.97000000000003,False
Cauliflower,63.0,157.5,62.0,139.5,False
Coconut Oil,54.0,270.0,29.0,130.5,False
Cherry,30.0,240.0,42.0,302.40000000000003,False
Cauliflower,57.0,142.5,78.0,175.5,False
Vegetable Oil,18.0,36.0,25.0,45.0,False
Tuna,16.0,288.0,35.0,567.0,False
Buttermilk,39.0,97.5,46.0,103.5,False
Lemon,59.0,144.55,30.0,66.15,False
Salmon,79.0,1185.0,42.0,567.0,False
Egg (Quail),78.0,62.400000000000006,49.0,35.28,False
Sushi Rice,22.0,93.5,64.0,244.8,False
Egg (Chicken),10.0,2.0,100.0,18.0,False
Arborio Rice,34.0,153.0,42.0,170.1,False
Heavy Cream,74.0,296.0,65.0,234.0,False
Sushi Rice,10.0,43.0,29.0,112.22999999999999,False
Basmati Rice,11.0,49.5,29.0,117.45,False
Grapes,99.0,544.5,59.0,292.05,False
Swiss Cheese,64.0,512.0,53.0,381.6,False
Pear,58.0,258.1,62.0,248.31000000000003,False
Corn Oil,26.0,65.0,45.0,101.25,False
Raw Sugar,72.0,108.0,39.0,52.65,False
Mozzarella Cheese,36.0,255.6,27.0,172.53,False
Mushrooms,24.0,144.0,85.0,459.0,False
Onion,16.0,32.0,22.0,39.6,False
Banana,39.0,545.61,58.0,730.278,False
Zucchini,89.0,222.5,27.0,60.75,False
Cherry,57.0,456.0,44.0,316.8,False
Herbal Tea,61.0,1830.0,90.0,2430.0,False
Short Grain Rice,56.0,168.0,93.0,251.1,False
Cream,21.0,49.35,87.0,184.00500000000002,False
Grapes,59.0,324.5,74.0,366.3,False
Green Coffee,20.0,240.0,38.0,410.40000000000003,False
Rye Bread,99.0,297.0,49.0,132.3,False
Green Tea,24.0,192.0,49.0,352.8,False
Sushi Rice,78.0,339.29999999999995,69.0,270.135,False
Egg (Duck),52.0,52.0,77.0,69.3,False
Spinach,45.0,110.25000000000001,25.0,55.12500000000001,False
Apricot,89.0,445.0,49.0,220.5,False
Kiwi,63.0,365.4,20.0,104.4,False
Black Rice,49.0,306.25,75.0,421.875,False
Green Tea,26.0,208.0,92.0,662.4,False
Egg (Quail),93.0,74.4,30.0,21.6,False
Papaya,81.0,348.3,23.0,89.00999999999999,False
Heavy Cream,74.0,296.0,99.0,356.40000000000003,False
Black Tea,19.0,95.0,72.0,324.0,False
Short Grain Rice,64.0,192.0,48.0,129.6,False
Bell Pepper,49.0,220.5,52.0,210.6,False
Parmesan Cheese,99.0,1188.0,69.0,745.2,False
Buttermilk,60.0,147.0,42.0,92.61000000000001,False
Cabbage,90.0,81.0,52.0,42.120000000000005,False
Haddock,79.0,711.0,45.0,364.5,False
Egg (Chicken),22.0,4.4,33.0,5.94,False
Brown Rice,51.0,127.5,53.0,119.25,False
Arabica Coffee,65.0,1300.0,28.0,504.0,False
Whipped Cream,55.0,220.0,69.0,248.4,False
White Rice,18.0,32.4,64.0,103.68,False
Parmesan Cheese,37.0,444.0,39.0,421.2,False
Salmon,88.0,1320.0,96.0,1296.0,False
Pineapple,20.0,70.0,80.0,252.0,False
Bread Flour,99.0,148.5,80.0,108.0,False
Asparagus,46.0,220.79999999999998,59.0,254.88,False
Wild Rice,19.0,190.0,62.0,558.0,False
Yogurt,12.0,21.0,22.0,34.65,False
Buttermilk,69.0,175.95,29.0,66.55499999999999,False
Egg (Duck),63.0,63.0,23.0,20.7,False
Asparagus,78.0,366.6,25.0,105.75,False
White Bread,72.0,180.0,87.0,195.75,False
Wild Rice,58.0,580.0,75.0,675.0,False
Egg (Goose),88.0,220.0,54.0,121.5,False
White Rice,54.0,97.2,94.0,152.28000000000003,False
Powdered Sugar,64.0,160.0,97.0,218.25,False
Milk,12.0,12.0,31.0,27.900000000000002,False
Mango,61.0,317.2,74.0,346.32,False
Oatmeal Biscuit,28.0,140.0,28.0,126.0,False
Spinach,23.0,57.5,95.0,213.75,False
Blueberries,87.0,870.0,55.0,495.0,False
Robusta Coffee,59.0,590.0,48.0,432.0,False
Watermelon,13.0,39.0,100.0,270.0,False
Pomegranate,81.0,486.0,94.0,507.6,False
White Bread,61.0,152.5,51.0,114.75,False
Carrot,80.0,120.0,81.0,109.35000000000001,False
Brown Rice,39.0,97.5,77.0,173.25,False
Cabbage,69.0,4591.95,36.0,2156.22,False
Egg (Goose),60.0,150.0,77.0,173.25,False
Sour Cream,22.0,90.19999999999999,45.0,166.04999999999998,False
Almond Flour,79.0,750.5,83.0,709.65,False
Broccoli,47.0,188.0,76.0,273.6,False
Jasmine Rice,20.0,95.0,78.0,333.45,False
Gouda Cheese,41.0,287.0,86.0,541.8000000000001,False
Tilapia,46.0,322.0,62.0,390.6,False
Palm Oil,67.0,120.60000000000001,78.0,126.36000000000001,False
Arborio Rice,51.0,229.5,73.0,295.65000000000003,False
White Sugar,42.0,84.0,80.0,144.0,False
Sesame Oil,85.0,552.5,78.0,456.3,False
Sunflower Oil,23.0,57.5,91.0,204.75,False
Bell Pepper,84.0,378.0,46.0,186.3,False
Greek Yogurt,28.0,1192.24,48.0,1839.456,False
White Bread,62.0,155.0,42.0,94.5,False
Egg (Goose),65.0,162.5,66.0,148.5,False
Lime,18.0,36.0,54.0,97.2,False
Egg (Chicken),70.0,14.0,62.0,11.16,False
Vegetable Oil,23.0,46.0,63.0,113.4,False
Jasmine Rice,26.0,123.5,75.0,320.625,False
Robusta Coffee,20.0,200.0,72.0,648.0,False
Mozzarella Cheese,55.0,396.0,48.0,311.04,False
Whole Wheat Flour,82.0,225.5,26.0,64.35000000000001,False
Salmon,73.0,1095.0,89.0,1201.5,False
White Tea,81.0,2025.0,74.0,1665.0,False
Onion,20.0,40.0,51.0,91.8,False
Black Coffee,78.0,1170.0,54.0,729.0,False
Butter Biscuit,84.0,504.0,51.0,275.40000000000003,False
Corn Oil,32.0,80.0,52.0,117.0,False
Coconut Oil,90.0,450.0,55.0,247.5,False
Evaporated Milk,70.0,140.0,24.0,43.2,False
Bell Pepper,90.0,405.0,81.0,328.05,False
Lettuce,100.0,200.0,26.0,46.800000000000004,False
Brown Rice,89.0,222.5,64.0,144.0,False
Whole Wheat Flour,38.0,102.60000000000001,34.0,82.62000000000002,False
Rye Bread,61.0,183.0,71.0,191.70000000000002,False
Orange,75.0,225.0,96.0,259.2,False
Multigrain Bread,87.0,278.40000000000003,73.0,210.24000000000004,False
Bread Flour,71.0,106.5,34.0,45.9,False
Haddock,98.0,882.0,53.0,429.3,False
Green Beans,19.0,38.0,51.0,91.8,False
Coconut,85.0,425.0,61.0,274.5,False
Apple,71.0,248.5,87.0,274.05,False
Brown Rice,44.0,110.0,67.0,150.75,False
Rice Flour,25.0,50.0,24.0,43.2,False
Peanut Oil,24.0,96.0,98.0,352.8,False
Anchovies,44.0,440.0,80.0,720.0,False
Powdered Sugar,63.0,157.5,40.0,90.0,False
Palm Oil,69.0,124.2,63.0,102.06,False
Tuna,88.0,1584.0,28.0,453.6,False
Robusta Coffee,74.0,740.0,37.0,333.0,False
Bell Pepper,98.0,441.0,86.0,348.3,False
Egg (Chicken),22.0,4.4,88.0,15.840000000000002,False
Apricot,55.0,275.0,23.0,103.5,False
Ricotta Cheese,96.0,585.5999999999999,94.0,516.06,False
Feta Cheese,91.0,637.0,32.0,201.6,False
Digestive Biscuit,40.0,160.0,28.0,100.8,False
Salmon,52.0,780.0,43.0,580.5,False
Lettuce,22.0,44.0,62.0,111.60000000000001,False
Black Rice,98.0,622.3,70.0,400.05,False
Whole Wheat Flour,59.0,162.25,32.0,79.2,False
Chocolate Biscuit,99.0,495.0,65.0,292.5,False
Black Tea,18.0,95.39999999999999,65.0,310.05,False
Watermelon,58.0,174.0,71.0,191.70000000000002,False
Black Rice,30.0,189.0,61.0,345.87,False
Papaya,97.0,436.5,53.0,214.65,False
Egg (Goose),50.0,122.50000000000001,78.0,171.99000000000004,False
Cheddar Cheese,70.0,630.0,63.0,510.3,False
Blueberries,40.0,400.0,76.0,684.0,False
Corn Oil,75.0,187.5,100.0,225.0,False
Strawberries,26.0,156.0,94.0,507.6,False
Arabica Coffee,13.0,260.0,67.0,1206.0,False
Plum,11.0,44.0,99.0,356.40000000000003,False
Salmon,98.0,1470.0,21.0,283.5,False
Broccoli,35.0,140.0,90.0,324.0,False
Mackerel,45.0,337.5,35.0,236.25,False
Kale,47.0,188.0,26.0,93.60000000000001,False
Sesame Oil,89.0,578.5,39.0,228.15,False
Black Coffee,33.0,495.0,96.0,1296.0,False
Apricot,90.0,450.0,76.0,342.0,False
Jasmine Rice,44.0,209.0,63.0,269.325,False
Wild Rice,41.0,399.75,93.0,816.075,False
Potato,72.0,86.39999999999999,96.0,103.67999999999999,False
Egg (Goose),72.0,172.79999999999998,36.0,77.75999999999999,False
Black Coffee,40.0,600.0,33.0,445.5,False
Whole Wheat Bread,36.0,126.0,67.0,211.05,False
Vegetable Oil,51.0,102.0,24.0,43.2,False
Black Coffee,87.0,1296.3,90.0,1206.9,False
Pear,79.0,355.5,33.0,133.65,False
Tilapia,14.0,95.2,64.0,391.68,False
Orange,81.0,243.0,86.0,232.20000000000002,False
Lime,75.0,150.0,32.0,57.6,False
Gouda Cheese,48.0,336.0,59.0,371.7,False
Onion,50.0,100.0,40.0,72.0,False
Haddock,11.0,99.0,86.0,696.6,False
Almond Flour,74.0,703.0,24.0,205.20000000000002,False
Tomato,11.0,27.5,93.0,209.25,False
Heavy Cream,85.0,340.0,95.0,342.0,False
Cauliflower,57.0,142.5,87.0,195.75,False
Lime,75.0,142.5,63.0,107.72999999999999,False
Egg (Turkey),63.0,148.05,78.0,164.97000000000003,False
White Tea,35.0,883.75,53.0,1204.425,False
Cabbage,24.0,24.0,55.0,49.5,False
Jasmine Rice,53.0,251.75,100.0,427.5,False
Butter Biscuit,74.0,444.0,51.0,275.40000000000003,False
Brown Rice,79.0,197.5,43.0,96.75,False
Bread Flour,54.0,81.0,41.0,55.35,False
Palm Oil,44.0,79.2,46.0,74.52,False
Almond Flour,77.0,731.5,27.0,230.85,False
Apricot,42.0,210.0,86.0,387.0,False
Sweet Potato,44.0,88.0,89.0,160.20000000000002,False
Sour Cream,81.0,324.0,68.0,244.8,False
Black Rice,92.0,575.0,38.0,213.75,False
Salmon,78.0,1170.0,47.0,634.5,False
Heavy Cream,85.0,357.0,65.0,245.70000000000002,False
Pomegranate,65.0,390.0,80.0,432.0,False
Olive Oil,36.0,216.0,74.0,399.6,False
Potato,26.0,31.2,84.0,90.72,False
Sunflower Oil,39.0,97.5,84.0,189.0,False
White Sugar,39.0,78.0,73.0,131.4,False
Cabbage,83.0,83.0,35.0,31.5,False
Cucumber,28.0,50.4,33.0,53.46,False
Tuna,85.0,1530.0,92.0,1490.4,False
Lime,76.0,152.0,77.0,138.6,False
Tomato,100.0,250.0,84.0,189.0,False
Pomegranate,17.0,102.0,37.0,199.8,False
Anchovies,51.0,510.0,80.0,720.0,False
Grapes,54.0,297.0,81.0,400.95,False
Sourdough Bread,94.0,376.0,47.0,169.20000000000002,False
Asparagus,34.0,170.0,41.0,184.5,False
Herbal Tea,27.0,810.0,34.0,918.0,False
All-Purpose Flour,50.0,87.5,87.0,137.025,False
Almond Flour,85.0,807.5,26.0,222.3,False
Rice Flour,24.0,48.0,98.0,176.4,False
Halibut,82.0,1640.0,66.0,1188.0,False
Apple,17.0,59.5,36.0,113.4,False
Canola Oil,25.0,57.49999999999999,72.0,149.04,False
Tilapia,56.0,392.0,65.0,409.5,False
Evaporated Milk,72.0,144.0,52.0,93.60000000000001,False
Mushrooms,65.0,409.5,54.0,306.18,False
Grapes,30.0,165.0,63.0,311.85,False
Onion,39.0,78.0,25.0,45.0,False
Pineapple,14.0,49.0,74.0,233.1,False
Carrot,74.0,111.0,91.0,122.85000000000001,False
Parmesan Cheese,63.0,749.7,37.0,396.27000000000004,False
Peach,47.0,188.0,36.0,129.6,False
Egg (Turkey),42.0,105.0,61.0,137.25,False
Tomato,32.0,80.0,80.0,180.0,False
Lettuce,88.0,176.0,25.0,45.0,False
Yogurt,80.0,140.0,41.0,64.575,False
Orange,36.0,108.0,25.0,67.5,False
Bread Flour,11.0,16.5,77.0,103.95,False
Peach,40.0,160.0,92.0,331.2,False
Bread Flour,63.0,94.5,55.0,74.25,False
Raw Sugar,90.0,135.0,80.0,108.0,False
Multigrain Bread,47.0,152.75,30.0,87.75,False
Digestive Biscuit,29.0,116.0,80.0,288.0,False
Peach,94.0,376.0,24.0,86.4,False
Mango,32.0,156.8,84.0,370.44000000000005,False
Plum,40.0,160.0,45.0,162.0,False
Egg (Goose),50.0,125.0,76.0,171.0,False
Cod,72.0,576.0,54.0,388.8,False
Pomegranate,22.0,132.0,41.0,221.4,False
Chocolate Biscuit,23.0,115.0,97.0,436.5,False
Halibut,35.0,700.0,74.0,1332.0,False
Cucumber,12.0,21.0,45.0,70.875,False
Cheddar Cheese,86.0,774.0,100.0,810.0,False
Mackerel,91.0,682.5,90.0,607.5,False
Evaporated Milk,23.0,46.0,68.0,122.4,False
Onion,98.0,196.0,46.0,82.8,False
Cherry,29.0,232.0,74.0,532.8000000000001,False
Coconut,32.0,160.0,38.0,171.0,False
Pear,84.0,378.0,64.0,259.2,False
Yogurt,86.0,150.5,83.0,130.725,False
Black Rice,11.0,68.2,49.0,273.42,False
Whole Wheat Flour,60.0,165.0,51.0,126.22500000000001,False
Whole Wheat Bread,58.0,203.0,98.0,308.7,False
Ricotta Cheese,64.0,384.0,55.0,297.0,False
Canola Oil,19.0,43.699999999999996,33.0,68.30999999999999,False
Cherry,43.0,344.0,27.0,194.4,False
Peanut Oil,38.0,152.0,41.0,147.6,False
Buttermilk,70.0,175.0,47.0,105.75,False
Asparagus,18.0,90.0,58.0,261.0,False
Brown Rice,46.0,115.0,48.0,108.0,False
Arabica Coffee,78.0,1599.0,62.0,1143.9,False
Canola Oil,53.0,121.89999999999999,83.0,171.80999999999997,False
Haddock,67.0,603.0,76.0,615.6,False
Egg (Chicken),36.0,7.2,68.0,12.240000000000002,False
Whole Wheat Flour,39.0,107.25,92.0,227.70000000000002,False
Sweet Potato,95.0,190.0,61.0,109.8,False
Almond Flour,12.0,114.0,56.0,478.8,False
Wild Rice,98.0,980.0,31.0,279.0,False
Jasmine Rice,50.0,237.5,52.0,222.3,False
Zucchini,98.0,245.0,48.0,108.0,False
Corn Oil,28.0,70.0,32.0,72.0,False
Cucumber,67.0,120.60000000000001,81.0,131.22000000000003,False
Onion,20.0,40.0,23.0,41.4,False
Trout,67.0,777.1999999999999,66.0,689.0400000000001,False
Egg (Quail),94.0,75.2,100.0,72.0,False
Black Tea,45.0,225.0,90.0,405.0,False
Anchovies,86.0,860.0,37.0,333.0,False
Wild Rice,72.0,702.0,51.0,447.52500000000003,False
Green Beans,31.0,65.10000000000001,55.0,103.95,False
Butter Biscuit,12.0,72.0,72.0,388.8,False
Gouda Cheese,71.0,497.0,77.0,485.1,False
Anchovies,64.0,640.0,49.0,441.0,False
Coconut Oil,89.0,445.0,91.0,409.5,False
Sesame Oil,50.0,325.0,53.0,310.05,False
Mango,53.0,265.0,41.0,184.5,False
Haddock,19.0,171.0,29.0,234.9,False
Broccoli,89.0,356.0,93.0,334.8,False
Cod,96.0,768.0,97.0,698.4,False
Parmesan Cheese,52.0,624.0,31.0,334.8,False
Sesame Oil,97.0,630.5,51.0,298.35,False
Halibut,88.0,1760.0,92.0,1656.0,False
Jasmine Rice,33.0,156.75,93.0,397.575,False
Jasmine Rice,98.0,465.5,51.0,218.025,False
Peach,45.0,180.0,84.0,302.40000000000003,False
White Rice,80.0,144.0,46.0,74.52,False
Halibut,68.0,1360.0,75.0,1350.0,False
Apricot,90.0,450.0,34.0,153.0,False
Trout,89.0,1068.0,96.0,1036.8,False
Cucumber,38.0,68.4,89.0,144.18,False
Green Beans,99.0,207.9,46.0,86.94000000000001,False
Powdered Sugar,66.0,158.4,30.0,64.8,False
Pomegranate,66.0,396.0,85.0,459.0,False
Bread Flour,64.0,96.0,33.0,44.550000000000004,False
Black Rice,18.0,108.0,85.0,459.0,False
Whole Wheat Flour,86.0,236.5,52.0,128.70000000000002,False
Black Tea,35.0,164.5,39.0,164.97000000000003,False
Green Beans,26.0,52.0,36.0,64.8,False
Parmesan Cheese,80.0,960.0,100.0,1080.0,False
Zucchini,63.0,157.5,35.0,78.75,False
Vanilla Biscuit,89.0,489.5,83.0,410.85,False
Sweet Potato,80.0,160.0,98.0,176.4,False
Vegetable Oil,41.0,82.0,55.0,99.0,False
Chocolate Biscuit,53.0,265.0,82.0,369.0,False
Haddock,61.0,549.0,34.0,275.40000000000003,False
Egg (Duck),70.0,70.0,95.0,85.5,False
Mango,73.0,365.0,50.0,225.0,False
Kale,60.0,240.0,21.0,75.60000000000001,False
Pomegranate,88.0,528.0,72.0,388.8,False
Cauliflower,95.0,237.5,49.0,110.25,False
Powdered Sugar,47.0,117.5,22.0,49.5,False
Mozzarella Cheese,24.0,168.0,58.0,365.40000000000003,False
Anchovies,93.0,930.0,81.0,729.0,False
Sunflower Oil,80.0,200.0,98.0,220.5,False
Apple,77.0,269.5,63.0,198.45000000000002,False
Green Beans,42.0,84.0,39.0,70.2,False
Egg (Turkey),92.0,230.0,78.0,175.5,False
Mushrooms,81.0,506.25,92.0,517.5,False
Jasmine Rice,46.0,218.5,36.0,153.9,False
Brown Rice,44.0,110.0,44.0,99.0,False
Multigrain Bread,38.0,133.0,45.0,141.75,False
Evaporated Milk,64.0,128.0,74.0,133.20000000000002,False
Long Grain Rice,39.0,56.55,20.0,26.1,False
White Bread,42.0,105.0,67.0,150.75,False
White Sugar,29.0,58.0,58.0,104.4,False
Cucumber,60.0,108.0,74.0,119.88000000000002,False
Parmesan Cheese,65.0,780.0,69.0,745.2,False
Bell Pepper,89.0,400.5,38.0,153.9,False
Corn Oil,50.0,125.0,28.0,63.0,False
Bell Pepper,94.0,423.0,44.0,178.20000000000002,False
Canola Oil,97.0,223.1,82.0,169.74,False
Digestive Biscuit,72.0,288.0,85.0,306.0,False
Cream,62.0,155.0,41.0,92.25,False
Apple,44.0,154.0,41.0,129.15,False
Peanut Oil,21.0,84.0,79.0,284.40000000000003,False
Coconut Sugar,91.0,455.0,48.0,216.0,False
Tuna,87.0,1566.0,22.0,356.40000000000003,False
Spinach,61.0,153.72,31.0,70.308,False
Carrot,61.0,91.5,26.0,35.1,False
Sweet Potato,49.0,98.0,97.0,174.6,False
Lemon,87.0,217.5,61.0,137.25,False
Multigrain Bread,93.0,302.25,56.0,163.8,False
Basmati Rice,55.0,244.75,37.0,148.185,False
Sour Cream,29.0,116.0,23.0,82.8,False
Egg (Chicken),63.0,12.600000000000001,67.0,12.06,False
Potato,42.0,50.4,43.0,46.440000000000005,False
Onion,74.0,148.0,97.0,174.6,False
Short Grain Rice,22.0,66.0,68.0,183.6,False
Egg (Chicken),83.0,16.6,94.0,16.92,False
Wild Rice,32.0,320.0,69.0,621.0,False
Apple,84.0,294.0,66.0,207.9,False
Plum,22.0,88.0,70.0,252.0,False
Peas,100.0,300.0,86.0,232.20000000000002,False
Cheddar Cheese,36.0,324.0,30.0,243.0,False
Halibut,14.0,280.0,71.0,1278.0,False
White Sugar,38.0,76.0,52.0,93.60000000000001,False
Eggplant,97.0,291.0,22.0,59.4,False
Green Tea,64.0,512.0,25.0,180.0,False
Lime,14.0,26.599999999999998,100.0,171.0,False
Avocado Oil,24.0,240.0,99.0,891.0,False
Tilapia,100.0,700.0,85.0,535.5,False
Jasmine Rice,62.0,294.5,31.0,132.525,False
Basmati Rice,71.0,319.5,60.0,243.0,False
Parmesan Cheese,38.0,456.0,35.0,378.0,False
Powdered Sugar,88.0,211.2,95.0,205.20000000000002,False
Sourdough Bread,40.0,180.0,54.0,218.70000000000002,False
Spinach,88.0,220.0,58.0,130.5,False
Cheddar Cheese,60.0,540.0,95.0,769.5,False
Cabbage,94.0,84.60000000000001,98.0,79.38000000000001,False
Avocado Oil,30.0,300.0,22.0,198.0,False
Papaya,19.0,85.5,91.0,368.55,False
